Title,Author_count,subtype,Subject_area_count,Cite_count
Public health and international epidemiology for radiology,2,ch,1,1
Flexible Printed Active Antenna for Digital Television Reception,2,cp,2,1
Parametric study of hydrogen production via sorption enhanced steam methane reforming in a circulating fluidized bed riser,4,ar,3,21
Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO 2 composites for self-driven oil/water separation,8,ar,5,37
Electrochemical impedance-based DNA sensor using pyrrolidinyl peptide nucleic acids for tuberculosis detection,6,ar,4,68
Evaluation of outsourcing transportation contract using simulation and design of experiment Ocena kontraktów outsourcingowych w transporcie z wykorzystaniem symulacji i projektu eksperymentu,1,ar,3,15
The phenotypic and mutational spectrum of Thai female patients with ornithine transcarbamylase deficiency,6,ar,1,13
External beam radiotherapy in the treatment of painful bone metastases,3,ch,1,0
Predicting judicial decisions of criminal cases from Thai supreme court using bi-directional gru with attention mechanism,3,cp,5,24
PH Variation as a Simple and Selective Pathway for Obtaining Nanoparticle or Nanocapsule Polysaccharides,2,ar,5,3
Effect of Zr addition on the microstructure and tribological property of the anodization of Ti-6Al-4V alloy,5,ar,5,17
Applying Text Mining for Classifying Disease from Symptoms,2,cp,6,4
Classification of advertisement text on Facebook using synthetic minority over-sampling technique,3,cp,4,0
Detecting Radio AGN Signatures in Red Geysers,22,ar,2,16
Organic agriculture education in Thai Universities: National trends and student perceptions,2,cp,2,1
"A new species of Ceropegia (Asclepiadoideae, Apocynaceae) from eastern Thailand",1,ar,2,6
Observation of Weakened V-V Dimers in the Monoclinic Metallic Phase of Strained VO2,9,ar,1,13
Heterostructured d-Ti 3 C 2 /TiO 2/ g-C 3 N 4 Nanocomposites with Enhanced Visible-Light Photocatalytic Hydrogen Production Activity,5,ar,4,105
Performance comparison of different cavitation reactors for biodiesel production via transesterification of palm oil,6,ar,5,30
"The dynamic linkage among the size, growth and profitability of listed companies in the ASEAN-4 countries",3,ar,6,0
Different natures of sub-gap states in 135-CIGS/112-CIGS and 112-CIGS/135-CIGS heterostructures investigated by photoluminescence technique,3,cp,1,1
Optical properties of CsI:Tl crystals grown using different precursors purities,3,cp,1,2
CIGS thin film solar cells with graded-band gap fabricated by CIS/CGS bilayer and CGS/CIS/CGS trilayer systems,4,cp,1,5
Machine Learning system mimicking student's choice in Particle Data Analysis laboratory activity,4,cp,1,0
Effects of global and local rewiring on SIS epidemic adaptive networks,2,cp,1,1
Glucose sensing characterization of non-enzymatic nickel film and nickel foam electrodes in sodium hydroxide solution,8,cp,1,3
Shielding the Earth Magnetic Field using Spherical Coils,3,cp,1,1
EMF Shielding of One Set of Circular Coils with Slight Distortion,5,cp,1,0
Evaluation of Thai students and teacher's attitudes in physics using Colorado Learning Attitudes about Science Survey (CLASS),3,cp,1,3
Cosmic-Ray Muons Detection by a Spark Chamber,3,cp,1,0
3D Information Retrieving of Concealing Surface beneath Opaque Resin Layer by Fast-Fourier Low Coherence Interferometer,3,cp,1,0
Mass-radius bounds in massive gravity models,2,cp,1,1
Identification of Pinocembrin as an Anti-Glycation Agent and α-Glucosidase Inhibitor from Fingerroot (Boesenbergia rotunda): The tentative structure–activity relationship towards Mg-trapping activity,5,ar,7,24
Graceful exit for the cosmological constant damping scenario,2,ar,1,7
Structural and transport phenomena of urocanate-based proton carrier in sulfonated poly(ether ether ketone) membrane composite,7,ar,4,4
Simulation of control characteristics of liquid column vibration absorber using a quasi-elliptic flow path estimation method,4,ar,1,3
"Corrigendum to “Effects of salt on the LLE and tie-line data for furfuryl alcohol - n-butanol-water at T = 298.15 K” [J. Mol. Liq. 218 (2016) 50–58] (Effects of salt on the LLE and tie-line data for furfuryl alcohol — n-butanol–water at T=298.15K (2016) 218 (50–58), (S0167732215309028) (10.1016/j.molliq.2016.02.027))",6,er,6,1
Bacillus sp. strain M10 as a potential biocontrol agent protecting chili pepper and tomato fruits from anthracnose disease caused by Colletotrichum capsici,4,ar,2,16
Finding impact factors for rejection of pull requests on GitHub,2,cp,4,3
Performance analysis of machine learning techniques in intrusion detection,2,cp,4,4
Observation of Medium-Induced Modifications of Jet Fragmentation in Pb-Pb Collisions at sNN =5.02 TeV Using Isolated Photon-Tagged Jets,2283,ar,1,39
The ideal commensurate value of Sc and the superconducting phase under high pressure,7,ar,1,19
A mini review on antidiabetic properties of fermented foods,4,re,2,35
Search for Leptoquarks Coupled to Third-Generation Quarks in Proton-Proton Collisions at s =13 TeV,2303,ar,1,51
WS2 and C-TiO2 Nanorods Acting as Effective Charge Separators on g-C3N4 to Boost Visible-Light Activated Hydrogen Production from Seawater,5,ar,4,64
Physics-based motion capture imitation with deep reinforcement learning,5,cp,3,41
Design of output feedback nonlinear model predictive control for inverted pendulum on cART,3,cp,4,0
Explicit Formula for Conditional Expectations of Product of Polynomial and Exponential Function of Affine Transform of Extended Cox-Ingersoll-Ross Process,3,cp,1,12
Two Properties of Pseudo-Polynomials over a Galois Field,4,cp,1,0
Basic fibroblast growth factor regulates phosphate/pyrophosphate regulatory genes in stem cells isolated from human exfoliated deciduous teeth,5,ar,4,27
Deep learning using risk-reward function for stock market prediction,2,cp,4,8
Chest X-ray analysis of tuberculosis by convolutional neural networks with affine transforms,2,cp,4,10
Creative industries policy in Thailand: A story of rise and demise,1,ch,1,6
Effect of modified Khon dance performance on functional fitness in older Thai persons,4,ar,2,3
Social return on investment for community-based alcohol consumption control program during Buddhist Lent,3,ar,2,1
"Medication adherence and associated factors among elderly hypertension patients with uncontrolled blood pressure in rural area, Northeast Thailand",4,ar,2,20
The effects of toothpaste amounts and post-brushing rinsing methods on salivary fluoride retention,5,ar,2,4
Complete genomic sequences of highly pathogenic H5N1 avian influenza viruses obtained directly from human autopsy specimens,7,ar,3,3
Downstream components of the calmodulin signaling pathway in the rice salt stress response revealed by transcriptome profiling and target identification,5,ar,1,54
"Deep multispectral painting reproduction via multi-layer, custom-ink printing",8,cp,4,15
Carbonized briquettes as a tool for adding value to waste from rain tree (Samanea saman) and coffee ground/tea waste,3,ar,1,8
Periodic-review policy for a 2-Echelon inventory problem with seasonal demand,2,ar,1,4
Reference stress approach for fracture assessment of extrados circumferential through-wall crack between elbow and pipe under internal pressure,2,ar,1,0
Atmospheric water estimation using GNSS precise point positioning method,2,ar,1,3
Development of arbuscular mycorrhizal fungi-organic fertilizer pellets encapsulated with alginate film,5,ar,1,7
Cross-sectoral analysis of water usage in Thailand using input–output model,4,ar,1,7
Speculation of nano-gap sensor for DNA sequencing technology: A review on synthetic nanopores,1,re,1,4
Peat Endogenous Lignocellulolytic Bacteria for Humic Waste Decomposition,3,cp,1,1
Relationships between causal factors affecting future carbon dioxide output from Thailand's transportation sector under the government's sustainability policy: Expanding the SEM-VECM model,2,ar,2,2
Mechanochemical-assisted heterogeneous surface modification of parawood microcrystalline cellulose and its effect on the properties of polypropylene composites,2,ar,5,1
Sequential Fractionation of Palm Empty Fruit Bunch and Microwave-Assisted Depolymerization of Lignin for Producing Monophenolic Compounds,8,ar,4,24
Enhancement of Hydrogen Evolution Reaction Performance of Graphitic Carbon Nitride with Incorporated Nickel Boride,4,ar,4,39
Hemostatic efficacy of sheep-derived fibrin glue for liver biopsy in swine,4,ar,1,0
"Plasmid profile of Enterococcus faecium and Enterococcus faecalis isolated from pigs, pork and humans in Thai-Laos border provinces",3,ar,1,0
Ophthalmology Snapshot,1,no,1,0
ECG Quiz,2,no,1,0
Computed tomographic contrast enhancement and tumor angiogenesis in canine oral tumors,3,ar,1,0
Efficacy of different vaccination programs of recombinant HVT-NDV vaccine against genotype VII NDV Challenge in broiler chickens,4,ar,1,1
Emergence of a classical variant of porcine epidemic diarrhea virus novel to Thailand responsible for the milder clinical disease in a herd previously infected with a pandemic variant,5,ar,1,1
Comparative ultrasonographic and computed tomographic images of the adrenal glands of healthy cats,3,ar,1,1
"A preliminary study on diversity of midgut microbiota in Aedes aegypti (Linnaeus) and Culex quinquefasciatus (Say) collected from Bangkok, Thailand",7,ar,1,2
Concomitant mycotic abdominal aortic aneurysm and lumbar tuberculous spondylitis with cauda equina syndrome: a rare condition — a case report and literature review,7,ar,2,6
Predicting the present revisited: The case of Thailand,2,ar,3,0
Survival time and prognosis factors in hypertrophic cardiomyopathy cats with congestive heart failure,5,ar,1,2
"The potential use of phytoestrogen containing the herb, Pueraria mirifica, for bone healing in osteoporotic monkeys",4,ar,1,2
Dynamic symmetry breaking in sat using augmented clauses with a polynomial-time lexicographic pruning,2,cp,3,2
Approximation of positive integer in double-base number system with a single term,2,cp,3,0
"Machine learning methods for abnormality detection in hard disk drive assembly process: Bi-LSTM, Wavelet-CNN and SVM",2,cp,3,1
ALMA twenty-six arcmin2 survey of GOODS-S at one millimeter (ASAGAO): Source catalog and number counts,32,re,2,17
Message from General Chairs,3,ed,5,0
Railway network modeling using building block of timed coloured petri nets,3,cp,2,2
Refactoring orchestrated web services into microservices using decomposition pattern,2,cp,2,5
Skin Barrier Function and Atopic Dermatitis,4,re,1,11
Corundum with spinel corona from the Tan Huongtruc Lau area in Northern Vietnam,6,ar,1,2
Effect of food additives on the quality of white shrimp (Litopenaeus vannamei),2,ar,1,2
High infection rate of Zika virus in mosquitoes collected from an area of active Zika virus transmission in eastern Thailand,11,ar,1,5
Antimicrobial and weed inhibitory activities of Senna spectabilis extracts against plant pathogens,2,ar,1,2
D-minimal expansions of the real field have the zero set property,2,ar,2,5
Current progress in production of flavonoids using systems and synthetic biology platforms,8,ar,1,10
Mucuna pruriens seed extract promotes neurite outgrowth via ten-4 dependent and independent mechanisms in Neuro2a cells,4,ar,1,3
A study into perioperative anaesthetic adverse events in Thailand (PAAd THAI): An analysis of suspected emergence delirium,6,ar,3,0
Effect of emg biofeedback to improve hand function in children with cerebral palsy: A randomized controlled trial,1,ar,1,1
Lipschitz retractions onto sphere vs spherical cup in a hilbert space,3,ar,2,0
Mechanisms of carbapenem resistance in Acinetobacter pittii and Acinetobacter nosocomialis isolates from Thailand,2,ar,2,10
Domain rearrangement and denaturation in Ebola virus protein VP40,6,ar,1,7
Amyloidosis associated with long-standing enterobacter endocarditis in a dog,4,cp,1,1
A New tocopherol derivative and cytotoxicity from the leaves of dalbergia velutina,5,ar,4,3
Effecting factors of the mechanical properties of Thai Dendrocalamus gigantues bamboo,3,ar,4,4
"Role of acute kidney injury biomarkers to guide renal replacement therapy initiation, what we learn from EARLY-RRT trial and FST trial?",5,le,1,0
Determining the amphipol distribution within membrane-protein fibre samples using small-angle neutron scattering,3,ar,1,1
Angular analysis of the decay B+ →k+μ+μ- in proton-proton collisions at s =8 TeV,2300,ar,1,27
