Title,Author_count,Open_access,Unique_affiliations_count,cite_count
Identifying nursing research priorities in Vietnam: A modified delphi study†,6,1,2,5
Evaluation of the sciatic nerve location regarding its relationship to the piriformis muscle,4,1,1,1
Breast conserving surgery versus modified radical mastectomy,1,1,1,0
Clinical outcomes and surgical preferences for breast-conserving surgery and mastectomy: A propensity score-matched analysis,3,1,3,1
Common orthopedic problems in the neonate: A comparative study of 2 periods at a tertiary-care hospital,3,1,2,2
Conservative surgical management for immediate postpartum hemorrhage,2,1,1,2
Distinguishing magnetic resonance imaging features between idiopathic hypertrophic pachymeningitis and secondary hypertrophic pachymeningitis,2,1,1,2
Transcriptome analysis of Pueraria candollei var. mirifica for gene discovery in the biosyntheses of isoflavones and miroestrol,12,1,4,13
Performance of a Monofiber Optical Probe in Determining the Droplet Size and Velocity in Spray Systems Compared with a High-Speed Camera,4,2,2,6
Hybrid Monitoring of Surface Roughness and Straightness in CNC Turning of Aluminium using Neural Networks Approach,1,0,1,0
Bacterial community structures and biodegradation kinetic of Tiamulin antibiotic degrading enriched consortia from swine wastewater,3,2,4,6
"Impact of faculty development programme on self-efficacy, competency and attitude towards medical education in Bhutan: A mixed-methods study",4,1,5,7
Formalizing railway network using hierarchical timed coloured petri nets,2,0,1,2
Extracting structured data from unstructured text using conditional random field and jaccard similarity,2,0,1,0
Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,2338,1,261,41
Biologics for chronic rhinosinusitis,7,2,7,28
Pathways to parental anxiety: Effect of coping strategies for disruptive behaviors in children with attention deficit-hyperactivity disorder,3,1,2,0
A need for screening and early diagnosis of breast cancer,1,1,1,0
Changes in protein patterns of Staphylococcus aureus and Escherichia coli by silver nanoparticles capped with poly (4-styrenesulfonic acid-co-maleic acid) polymer,6,1,2,7
Survival outcomes of low-risk and intermediate-risk stage ib1 cervical cancer patients,3,1,1,0
A somatic pik3ca p.h1047l mutation in a Thai patient with isolated macrodactyly: A case report,4,1,4,0
Chronic abdominal pain in children: The importance of endoscopy,1,1,1,0
Binder-free centimeter-long V2O5nanofibers on carbon cloth as cathode material for zinc-ion batteries,7,1,5,31
