Title,ref_count,Author_count,Subject_area_count,Unique_affiliations_count,Open_access,subtype,Cite_count
Identifying nursing research priorities in Vietnam: A modified delphi study†,29,6,2,2,1,ar,5
Evaluation of the sciatic nerve location regarding its relationship to the piriformis muscle,34,4,2,1,1,ar,1
Breast conserving surgery versus modified radical mastectomy,7,1,1,1,1,ed,0
Clinical outcomes and surgical preferences for breast-conserving surgery and mastectomy: A propensity score-matched analysis,16,3,1,3,1,ar,1
Common orthopedic problems in the neonate: A comparative study of 2 periods at a tertiary-care hospital,19,3,1,2,1,ar,2
Conservative surgical management for immediate postpartum hemorrhage,22,2,1,1,1,ar,2
Distinguishing magnetic resonance imaging features between idiopathic hypertrophic pachymeningitis and secondary hypertrophic pachymeningitis,14,2,1,1,1,ar,2
Transcriptome analysis of Pueraria candollei var. mirifica for gene discovery in the biosyntheses of isoflavones and miroestrol,56,12,1,4,1,ar,13
Performance of a Monofiber Optical Probe in Determining the Droplet Size and Velocity in Spray Systems Compared with a High-Speed Camera,32,4,3,2,2,ar,6
Hybrid Monitoring of Surface Roughness and Straightness in CNC Turning of Aluminium using Neural Networks Approach,18,1,4,1,0,cp,0
Bacterial community structures and biodegradation kinetic of Tiamulin antibiotic degrading enriched consortia from swine wastewater,49,3,7,4,2,ar,6
"Impact of faculty development programme on self-efficacy, competency and attitude towards medical education in Bhutan: A mixed-methods study",26,4,1,5,1,ar,7
Formalizing railway network using hierarchical timed coloured petri nets,9,2,4,1,0,cp,2
Extracting structured data from unstructured text using conditional random field and jaccard similarity,8,2,4,1,0,cp,0
Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,65,2338,1,261,1,ar,41
Biologics for chronic rhinosinusitis,41,7,1,7,2,ar,28
Pathways to parental anxiety: Effect of coping strategies for disruptive behaviors in children with attention deficit-hyperactivity disorder,26,3,1,2,1,ar,0
A need for screening and early diagnosis of breast cancer,7,1,1,1,1,ed,0
Changes in protein patterns of Staphylococcus aureus and Escherichia coli by silver nanoparticles capped with poly (4-styrenesulfonic acid-co-maleic acid) polymer,45,6,1,2,1,ar,7
Survival outcomes of low-risk and intermediate-risk stage ib1 cervical cancer patients,24,3,1,1,1,ar,0
A somatic pik3ca p.h1047l mutation in a Thai patient with isolated macrodactyly: A case report,15,4,1,4,1,ar,0
Chronic abdominal pain in children: The importance of endoscopy,9,1,1,1,1,ed,0
Binder-free centimeter-long V2O5nanofibers on carbon cloth as cathode material for zinc-ion batteries,41,7,6,5,1,ar,31
"A double masked randomised 4-week, placebo-controlled study in the USA, Thailand and Taiwan to compare the efficacy of oral valganciclovir and topical 2% ganciclovir in the treatment of cytomegalovirus anterior uveitis: Study protocol",34,14,1,8,1,ar,6
Probing the chiral magnetic wave in pPb and PbPb collisions at √SNN = 5.02 TeV using charge-dependent azimuthal anisotropies,43,2237,1,243,1,ar,15
Asiaticoside but not its aglycone exhibits neuritogenicity through TrkA receptor signaling: A bridge between ERK1/2-CREB and Akt-GSK3β/RhoA,24,3,1,2,0,ar,3
Application of pivoting adversarial networks in search for four top quark production in CMS,5,3,1,3,1,cp,0
A free solution to the Dirac equation in R-spacetime,20,4,1,3,1,cp,0
Effects of few optical cycles approximation to spectral broadening generated in two-zero dispersion wavelengths fibers,6,4,1,1,1,cp,0
Phase transitions in the frustrated antiferromagnetic XY model on the triangular lattice,8,2,1,2,1,cp,0
Charged fermion in two-dimensional curved spaces of constant Gaussian curvature with constant magnetic flux,41,1,1,1,1,cp,1
Comparison of electron temperature in DC glow discharge and AC glow discharge plasma,10,3,1,3,1,cp,2
An array of coupled nonlinear oscillators as a model for amplitude variations in intermodulation distortions from the auditory system,5,4,1,1,1,cp,0
Effect of formamidinium cation on electronic structure of formamidinium lead iodide,19,5,1,2,1,cp,0
Effects of anti-solvent in the two-step fabrication of absorber layer in perovskite solar cells,15,3,1,2,1,cp,0
Simulation of phase-ordering dynamics of 2d Ising model under influence of oscillatory shear,9,2,1,1,1,cp,0
Extracting overlapping 2D-images by central-derivatives-based algorithm,6,4,1,1,1,cp,0
Effects of surface diffusion length on steady-state persistence probabilities,13,2,1,2,1,cp,0
Performance of cytokine models in predicting SLE activity,41,8,3,4,1,ar,35
Availability of emergency obstetric and newborn care services at public health facilities of Sindh province in Pakistan,27,4,1,4,1,ar,6
"The impact of National Health Insurance upon accessibility of health services and financial protection from catastrophic health expenditure: A case study of Savannakhet province, the Lao People's Democratic Republic",42,2,1,1,1,ar,5
PTM-Logo: A program for generation of sequence logos based on position-specific background amino-acid probabilities,11,7,6,3,2,ar,7
Up-to-date review on the development of high performance rubber composites based on halloysite nanotube,86,4,2,2,0,re,24
Reduced Time to Suppression among Neonates with HIV Initiating Antiretroviral Therapy Within 7 Days after Birth,40,16,2,13,1,ar,7
Dual Analysis of Loss to Follow-up for Perinatally HIV-Infected Adolescents Receiving Combination Antiretroviral Therapy in Asia,17,22,2,19,1,ar,2
More than hemifacial spasm? A case of unilateral facial spasms with systematic review of red flags,16,3,2,2,0,le,4
"Health risk assessment of airborne Cd, Cu, Ni and Pb for electronic waste dismantling workers in Buriram Province, Thailand",36,2,3,2,0,ar,28
Cultivation of microalgae Chlorella sp. in municipal sewage for biofuel production and utilization of biochar derived from residue for the conversion of hematite iron ore (Fe2O3) to iron (Fe) – Integrated algal biorefinery,68,6,12,6,0,ar,39
Ordered mesoporous Ni/La2O3 catalysts with interfacial synergism towards CO2 activation in dry reforming of methane,72,10,3,3,0,ar,81
Heterogeneous structural defects to prompt charge shuttle in g-C3N4 plane for boosting visible-light photocatalytic activity,39,6,3,3,0,ar,83
Deactivation of the preferential oxidation of CO in packed bed reactor by 3D modelling and near-infrared tomography,46,5,4,4,2,ar,5
Towards a Great Design of Conceptual Modelling,29,6,1,6,,cp,1
Water Quality Index Analysis and Prediction: A Case Study of Canals in Bangkok Thailand,13,3,1,3,,cp,1
Prediction of User's Special Feelings Toward Photos Based on Behaviors of Taking and Editing Photos,15,5,1,2,,cp,0
"A SPA-Based Semantic Computing System for Global & Environmental Analysis and Visualization with ""5-Dimensional World-Map"": ""towards Environmental Artificial Intelligence",34,5,1,4,,cp,2
"Design and Synthesis of Piperazine-Linked Imidazo[1,2-a]pyridine Derivatives as Potent Anticancer Agents",44,6,1,3,0,ar,11
"Ceropegia chuakulii sp. Nov. (Asclepiadoideae, Apocynaceae) from eastern Thailand",22,2,2,1,0,ar,1
Search for Physics beyond the Standard Model in Events with Overlapping Photons and Jets,41,2337,1,208,1,ar,2
Evolutionary Engineering of Cyanobacteria to Enhance the Production of α-Farnesene from CO2,40,4,2,2,0,ar,13
Innovative Approach to Enhance the Methane Hydrate Formation at Near-Ambient Temperature and Moderate Pressure for Gas Storage Applications,57,5,3,3,0,ar,32
