Title,affliation_country
Time-periodic quantum states of weakly interacting bosons in a harmonic trap,Belgium
Mechanochemical reactions of MnO2 and graphite nanosheets as a durable zinc ion battery cathode,Thailand
Fabrication of molybdenum doped carbon nitride nanosheets for efficiently photocatalytic water splitting,China
Near-room-temperature superconductivity of Mg/Ca substituted metal hexahydride under pressure,Thailand
Autophagy related protein 9A increase in hepatitis B virus-associated hepatocellular carcinoma and the role in apoptosis,Thailand
Deterioration of Open-cell Aluminum Foam in Strong Sulfuric Acid,Thailand
Preface and Welcome Speech (ICEIT 2020),Thailand
Kinetic study for the co-pyrolysis of water hyacinth biomass with waste polystyrene,Thailand
Multifunctional catalyst of Cu/ZnO and molecular sieve for low temperature CO2 conversion to methanol,Thailand
Performance and cost analysis of hydrogen production from steam reforming and dehydrogenation of ethanol,Thailand
Biomarker-guided preemption of steroid-refractory graft-versus-host disease with a-1-antitrypsin,United States
Origins of Electrostriction in Poly(vinylidene fluoride)-Based Ferroelectric Polymers,Thailand
Spectral proper orthogonal decomposition analysis of the turbulent wake of a disk at Re = 50 000 SPECTRAL PROPER ORTHOGONAL DECOMPOSITION ... S. NIDHAN et al.,United States
Generation of (: Z)-β-alkenyl alkylsulfones via a copper-catalyzed decarboxylative alkylsulfonylation,China
Nanofibrillation and characterization of sugarcane bagasse agro-waste using water-based steam explosion and high-pressure homogenization,Thailand
Mitochondria and immunity in chronic fatigue syndrome,United Kingdom
Effects of pursed-lip breathing and forward trunk lean postures on total and compartmental lung volumes and ventilation in patients with mild to moderate chronic obstructive pulmonary disease: An observational study,Thailand
Dark Matter of Primate Genomes: Satellite DNA Repeats and Their Evolutionary Dynamics,Thailand
Biochemical and Structural Investigation of GnnA in the Lipopolysaccharide Biosynthesis Pathway of Acidithiobacillus ferrooxidans,Thailand
A global & environmental coral analysis system with spa-based semantic computing for integrating and visualizing ocean-phenomena with “5-dimensional world-map”,Japan
A concept for control and program based on the semantic space model,Japan
Characteristics evaluation of fluorescein sodium as fluorescent tracer for petroleum wells,Thailand
Syntheses and anti-HIV and human cluster of differentiation 4 (CD4) down-modulating potencies of pyridine-fused cyclotriazadisulfonamide (CADA) compounds,United States
"Incidence, Persistence, and Factors Associated with HPV Infection among Male Adolescents with and Without Perinatally Acquired HIV Infection",Thailand
Bio-methanol production from oil palm residues: A thermodynamic analysis,Thailand
What matters in cost of debt: audit partner public-client specialization or busyness?,Thailand
Electrically controlled release of anticancer drug 5-fluorouracil from carboxymethyl cellulose hydrogels,Thailand
Culturally relevant constructionist design: exploring the role of community in identity development,Thailand
Effect of amine types and temperature of a natural rubber based composite material on the carbon dioxide capture,Thailand
Synergistic Effect of the Oleic Acid and Oleylamine Mixed-Liquid Matrix on Particle Size and Stability of Sputtered Metal Nanoparticles,Japan
Understanding the Effects of Antecedents on Continuance Intention to Gather Food Safety Information on Websites,Taiwan
A Dual Approach in Direct Ink Writing of Thermally Cured Shape Memory Rubber Toughened Epoxy,United States
An agile-stage-gate model for medical startups: A case study of a medical product startup in Thailand,Thailand
Decision Support System for Power Plant Improvement Investment Using Life-Cycle Cost,Thailand
Observation of electroweak production of Wγ with two jets in proton-proton collisions at s=13 TeV,Armenia
Quasars That Have Transitioned from Radio-quiet to Radio-loud on Decadal Timescales Revealed by VLASS and FIRST,United States
3HWC: The Third HAWC Catalog of Very-high-energy Gamma-Ray Sources,United States
Behavior of concrete confined with epoxy bonded fiber ropes under axial load,Thailand
"Willingness to pay for flood insurance: A case study in Phang Khon, Sakon Nakhon Province, Thailand",Thailand
Introducing raspberry Pi and its peripherals to a mechatronics course under COVID-19 Disruption,Thailand
"Search for bottom-type, vectorlike quark pair production in a fully hadronic final state in proton-proton collisions at s =13 TeV",Armenia
"2D Sequential Restoration and Basin Evolution of the Wichianburi Sub-basin, Phetchabun Basin, Central Thailand",Thailand
Enhanced selective cytotoxicity of doxorubicin to breast cancer cells by methoxypolyethylene glycol conjugation via a novel beta-thiopropanamide linker,Thailand
Enrichment and characterization of bacterial consortia for degrading 2-mercaptobenzothiazole in rubber industrial wastewater,Thailand
Ca2+/Calmodulin Complex Triggers CAMTA Transcriptional Machinery Under Stress in Plants: Signaling Cascade and Molecular Regulation,Thailand
The Pain–to–Well-Being Relationship in Patients Experiencing Chronic Orofacial Pain,Thailand
The Expression of Proteins Related to Serotonin Pathway in Pulmonary Arteries of Dogs Affected With Pulmonary Hypertension Secondary to Degenerative Mitral Valve Disease,Thailand
Computational Design of 25-mer Peptide Binders of SARS-CoV-2,Thailand
"Enhanced post-licensure safety surveillance of a new recombinant acellular pertussis vaccine licensed as a monovalent (aP, Pertagen®) and tetanus, reduced-dose diphtheria combination (TdaP, Boostagen®) vaccine for immunization of adolescents and adults in Thailand",Thailand
Comparative study of Tetra-N-Butyl ammonium bromide and cyclopentane on the methane hydrate formation and dissociation,Thailand
Trends and determinants of ebf among adolescent children born to adolescent mothers in rural Bangladesh,Thailand
"Spatial Distribution and Contamination Status of Copper and Chromium in Transshipment Area, Sichang Island, Thailand",Thailand
"Distribution of phylogenetic groups, adhesin genes, biofilm formation, and antimicrobial resistance of uropathogenic Escherichia coli isolated from hospitalized patients in Thailand",Thailand
Comparison of the effects of chair height and anterior seat inclination on sit-to-stand ability in children with spastic diplegic cerebral palsy,Thailand
Endotoxemia and circulating bacteriome in severe COVID-19 patients,Thailand
Is interleukin 17 (Il-17) expression a common point in the pathogenesis of depression and obesity?,Poland
Physicochemical and functional characteristics of rd43 rice flour and its food application,Thailand
INNOVATIVE ENTREPRENEURSHIP MODEL FOR AGRICULTURAL PROCESSING SMES IN THAILAND’S DIGITAL AND INDUSTRIES 4.0 ERA,Thailand
