code,abbrev,subject
1000,MULT,Multidisciplinary
1100,AGRI,Agricultural and Biological Sciences (all)
1101,AGRI,Agricultural and Biological Sciences (miscellaneous)
1102,AGRI,Agronomy and Crop Science
1103,AGRI,Animal Science and Zoology
1104,AGRI,Aquatic Science
1105,AGRI,"Ecology, Evolution, Behavior and Systematics"
1106,AGRI,Food Science
1107,AGRI,Forestry
1108,AGRI,Horticulture
1109,AGRI,Insect Science
1110,AGRI,Plant Science
1111,AGRI,Soil Science
1200,ARTS,Arts and Humanities (all)
1201,ARTS,Arts and Humanities (miscellaneous)
1202,ARTS,History
1203,ARTS,Language and Linguistics
1204,ARTS,Archeology (arts and humanities)
1206,ARTS,Conservation
1207,ARTS,History and Philosophy of Science
1208,ARTS,Literature and Literary Theory
1210,ARTS,Music
1211,ARTS,Philosophy
1212,ARTS,Religious Studies
1213,ARTS,Visual Arts and Performing Arts
1300,BIOC,"Biochemistry, Genetics and Molecular Biology (all)"
1301,BIOC,"Biochemistry, Genetics and Molecular Biology (miscellaneous)"
1302,BIOC,Aging
1303,BIOC,Biochemistry
1304,BIOC,Biophysics
1305,BIOC,Biotechnology
1306,BIOC,Cancer Research
1307,BIOC,Cell Biology
1308,BIOC,Clinical Biochemistry
1309,BIOC,Developmental Biology
1310,BIOC,Endocrinology
1311,BIOC,Genetics
1312,BIOC,Molecular Biology
1313,BIOC,Molecular Medicine
1314,BIOC,Physiology
1315,BIOC,Structural Biology
1400,BUSI,"Business, Management and Accounting (all)"
1401,BUSI,"Business, Management and Accounting (miscellaneous)"
1402,BUSI,Accounting
1403,BUSI,Business and International Management
1404,BUSI,Management Information Systems
1405,BUSI,Management of Technology and Innovation
1406,BUSI,Marketing
1407,BUSI,Organizational Behavior and Human Resource Management
1408,BUSI,Strategy and Management
1409,BUSI,"Tourism, Leisure and Hospitality Management"
1410,BUSI,Industrial Relations
1500,CENG,Chemical Engineering (all)
1501,CENG,Chemical Engineering (miscellaneous)
1502,CENG,Bioengineering
1503,CENG,Catalysis
1504,CENG,Chemical Health and Safety
1505,CENG,Colloid and Surface Chemistry
1506,CENG,Filtration and Separation
1507,CENG,Fluid Flow and Transfer Processes
1508,CENG,Process Chemistry and Technology
1600,CHEM,Chemistry (all)
1601,CHEM,Chemistry (miscellaneous)
1602,CHEM,Analytical Chemistry
1603,CHEM,Electrochemistry
1604,CHEM,Inorganic Chemistry
1605,CHEM,Organic Chemistry
1606,CHEM,Physical and Theoretical Chemistry
1607,CHEM,Spectroscopy
1700,COMP,Computer Science (all)
1701,COMP,Computer Science (miscellaneous)
1702,COMP,Artificial Intelligence
1703,COMP,Computational Theory and Mathematics
1704,COMP,Computer Graphics and Computer-Aided Design
1705,COMP,Computer Networks and Communications
1706,COMP,Computer Science Applications
1707,COMP,Computer Vision and Pattern Recognition
1708,COMP,Hardware and Architecture
1709,COMP,Human-Computer Interaction
1710,COMP,Information Systems
1711,COMP,Signal Processing
1712,COMP,Software
1801,DECI,Decision Sciences (miscellaneous)
1802,DECI,Information Systems and Management
1803,DECI,Management Science and Operations Research
1804,DECI,"Statistics, Probability and Uncertainty"
1900,EART,Earth and Planetary Sciences (all)
1901,EART,Earth and Planetary Sciences (miscellaneous)
1902,EART,Atmospheric Science
1903,EART,Computers in Earth Sciences
1904,EART,Earth-Surface Processes
1906,EART,Geochemistry and Petrology
1907,EART,Geology
1908,EART,Geophysics
1909,EART,Geotechnical Engineering and Engineering Geology
1910,EART,Oceanography
1911,EART,Paleontology
1912,EART,Space and Planetary Science
2000,ECON,"Economics, Econometrics and Finance (all)"
2001,ECON,"Economics, Econometrics and Finance (miscellaneous)"
2002,ECON,Economics and Econometrics
2003,ECON,Finance
2100,ENER,Energy (all)
2101,ENER,Energy (miscellaneous)
2102,ENER,Energy Engineering and Power Technology
2103,ENER,Fuel Technology
2104,ENER,Nuclear Energy and Engineering
2105,ENER,"Renewable Energy, Sustainability and the Environment"
2200,ENGI,Engineering (all)
2201,ENGI,Engineering (miscellaneous)
2202,ENGI,Aerospace Engineering
2203,ENGI,Automotive Engineering
2204,ENGI,Biomedical Engineering
2205,ENGI,Civil and Structural Engineering
2206,ENGI,Computational Mechanics
2207,ENGI,Control and Systems Engineering
2208,ENGI,Electrical and Electronic Engineering
2209,ENGI,Industrial and Manufacturing Engineering
2210,ENGI,Mechanical Engineering
2211,ENGI,Mechanics of Materials
2212,ENGI,Ocean Engineering
2213,ENGI,"Safety, Risk, Reliability and Quality"
2214,ENGI,Media Technology
2215,ENGI,Building and Construction
2216,ENGI,Architecture
2300,ENVI,Environmental Science (all)
2301,ENVI,Environmental Science (miscellaneous)
2302,ENVI,Ecological Modeling
2303,ENVI,Ecology
2304,ENVI,Environmental Chemistry
2305,ENVI,Environmental Engineering
2306,ENVI,Global and Planetary Change
2307,ENVI,"Health, Toxicology and Mutagenesis"
2308,ENVI,"Management, Monitoring, Policy and Law"
2309,ENVI,Nature and Landscape Conservation
2310,ENVI,Pollution
2311,ENVI,Waste Management and Disposal
2312,ENVI,Water Science and Technology
2400,IMMU,Immunology and Microbiology (all)
2401,IMMU,Immunology and Microbiology (miscellaneous)
2402,IMMU,Applied Microbiology and Biotechnology
2403,IMMU,Immunology
2404,IMMU,Microbiology
2405,IMMU,Parasitology
2406,IMMU,Virology
2500,MATE,Materials Science (all)
2501,MATE,Materials Science (miscellaneous)
2502,MATE,Biomaterials
2503,MATE,Ceramics and Composites
