Title,cover_date,authkey_word
Graphene oxide-alginate hydrogel-based indicator displacement assay integrated with diaper for non-invasive Alzheimer's disease screening,2023-12-31,"Alzheimer's disease, Hydrogel colorimetric sensor, indicator-displacement assay, PV/Cu2+-GO/Alg hydrogel, Urinary cysteine"
"Rare coordination behavior of triethanolamine ligand in [Cu(H3tea)2](3,4-dimethoxycinnamate)2·2H2O: Synthesis, characterization, single crystal X-ray structure determination, Hirshfeld calculation and molecular docking studies",2023-12-15,"Copper(II), Hirshfeld calculations, Molecular docking, Single crystal X-ray, Spectroscopy, Triethanolamine"
Total ammonia nitrogen removal and microbial community dynamics in an outdoor HDPE-lined shrimp pond with no water discharge,2023-12-15,"Ammonia removal, Carrying capacity, Microbiome, Outdoor shrimp pond, Phytoplankton"
"Effects of microaeration and sludge recirculation on VFA and nitrogen removal, membrane fouling reduction and microbial community of the anaerobic baffled biofilm-membrane bioreactor in treating building wastewater",2023-12-10,"Anaerobic baffled biofilm–MBR (AnBB-MBR), Membrane fouling reduction, Microaeration, Microbial community, Sludge recirculation, VFA and nitrogen removal"
"Bioaccumulation of heavy metals in commercially important marine species from Puducherry coast, Southeast India",2023-12-10,"Contamination, Health risk assessment, Heavy metals, Marine edible organisms, Pondicherry coast"
"A comprehensive review on Saraca asoca (Fabaceae) - Historical perspective, traditional uses, biological activities, and conservation",2023-12-05,"Ashoka, Conservation strategies, Demand and supply chain, IUCN red list species, Saraca, Vulnerable species"
Potential natural antimicrobial and antibiofilm properties of Piper betle L. against Staphylococcus pseudintermedius and methicillin-resistant strains,2023-12-05,"Biofilm, Methicillin-resistant S. pseudintermedius, Piper betle, Staphylococcus pseudintermedius"
Improving pharmaceutical analysis by incorporating green chemistry and smartphone technology: The assay for dissolution test of ethambutol tablets as an example,2023-12-01,"Assay, Digital image colorimetry, Ethambutol, Green chemistry, Smartphone"
Targeted sequencing analysis pipeline for species identification of human pathogenic fungi using long-read nanopore sequencing,2023-12-01,"Fungal identification, Internal transcribed spacer (ITS), Nanopore technology, Targeted long-read sequencing"
Responding to an unprecedented shock — Elucidating how 113 DMOs changed the marketing communications on Twitter during the COVID-19 crisis,2023-12-01,"COVID-19, Crisis communications, Data analytics, Destination marketing, Destination marketing organisations (DMOs), Marketing strategy, Social media strategy, Twitter"
Matrices-charges of agar-alginate crosslinked microcapsules via o/w microemulsion: A non-spore forming probiotic bacteria encapsulation system for extensive viability,2023-12-01,"Agar, Alginate, Lactobacillus plantarum MB001, Microcapsule, Microemulsion, Probiotics"
Metal ion removal using a low-cost coconut shell activated carbon bioadsorbent in the recovery of lactic acid from the fermentation broth,2023-12-01,"Adsorption, Carboxymethyl cellulose, Coconut shell activated carbon, Lactic acid recovery, Thermodynamic and kinetics"
Scale development to measure the patient perception of patient-centered care of dentists in primary care settings of Thailand: a measurement invariance test,2023-12-01,"Confirmatory factor analysis, Exploratory factor analysis, Measurement invariance, Patient perception, Patient-centered dental care, Primary care"
"Methylene blue degradation under visible light of Au-DP25/PET and Cu-DP25/PET photocatalytic films, synthesized through two wet impregnation routes – An experimental and theoretical evaluation",2023-12-01,"Au and Cu2O decorations, DP25, Methylene blue degradation, PET support, Photocatalytic films, Wet impregnation method"
Sulfur metabolism in durian pulps: Factors contributing to the production of volatile sulfur compounds during fruit ripening,2023-12-01,"Durian, Durio zibethinus L., Fruit ripening, Methionine γ-lyase, Sulfur metabolism, γ- glutamylcysteine"
"Separation of the Chlorofluorocarbon (CFC) CCl2F2 from N2 in NaY Zeolite, in MIL-127(Fe) and in the two Carbon Nanotubes CNT (9,9) and CNT (11,11)",2023-12-01,"Arrhenius law, Computer simulation, Enthalpy of adsorption, Henry coefficient, Monte Carlo simulation, Selective adsorption"
Association between oral hypofunction and general health: a systematic review,2023-12-01,"Cognitive impairment, Mastication, Oral function, Physical activity, Social activity, Swallowing"
Neuroprotective effect of nose-to-brain delivery of Asiatic acid in solid lipid nanoparticles and its mechanisms against memory dysfunction induced by Amyloid Beta1-42 in mice,2023-12-01,"Amyloid beta, Asiatic acid, Memory dysfunction, Mice, Nose-to-brain, SLNs"
