title,publisher,aggregationType,subject_area_abbrevs,subject_area_names,SNIP,SJR,citeScoreTracker_2024,citeScoreCurrentMetric_2023,publicationCount_2022,citeCountSCE_2022,zeroCitesSCE_2022,revPercent_2022,publicationCount_2023,citeCountSCE_2023,zeroCitesSCE_2023,revPercent_2023,publicationCount_2024,citeCountSCE_2024,zeroCitesSCE_2024,revPercent_2024
3 Biotech,Springer Science and Business Media Deutschland GmbH,journal,ENVI;AGRI;BIOC,Environmental Science (miscellaneous);Biotechnology;Agricultural and Biological Sciences (miscellaneous),0.751,0.563,5.5,6.0,349,13148,24,16.91,423,14135,101,14.42,280,13361,179,12.14
AACL Bioflux,Bioflux Publishing House,journal,AGRI;ENVI,"Management, Monitoring, Policy and Law;Aquatic Science;Water Science and Technology;Ecology, Evolution, Behavior and Systematics",0.486,0.236,1.2,1.4,295,1410,150,0.0,301,1575,206,0.0,162,1489,159,0.0
"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali",Accademia Peloritana dei Pericolanti,journal,MATH;PHYS;ARTS;CHEM;AGRI;EART;COMP,Earth and Planetary Sciences (all);Physics and Astronomy (all);Mathematics (all);Agricultural and Biological Sciences (all);Computer Science (all);Chemistry (all);History and Philosophy of Science,0.281,0.216,4.6,3.8,13,150,8,0.0,27,161,6,0.0,7,134,6,0.0
ACS Agricultural Science and Technology,American Chemical Society,journal,AGRI,Agricultural and Biological Sciences (miscellaneous);Agronomy and Crop Science;Plant Science;Food Science,0.53,0.448,4.2,2.8,130,267,14,15.38,121,582,31,9.09,112,886,83,11.61
ACS Food Science and Technology,American Chemical Society,journal,AGRI;CHEM,Chemistry (miscellaneous);Analytical Chemistry;Organic Chemistry;Food Science,0.67,0.487,4.6,3.3,193,639,23,11.4,220,1277,48,8.64,251,1913,186,8.37
AIMS Agriculture and Food,AIMS Press,journal,AGRI,Agricultural and Biological Sciences (miscellaneous);Food Science,0.772,0.409,3.6,3.7,57,630,11,1.75,59,781,18,10.17,43,769,34,13.95
Acarina,Tyumen State University,journal,AGRI,Insect Science,0.609,0.581,1.2,1.2,20,107,10,5.0,22,133,15,4.55,7,98,7,0.0
Acarologia,Les Amis d'Acarologia,journal,AGRI,Insect Science,0.929,0.537,1.7,2.0,84,767,29,0.0,99,871,48,0.0,71,731,59,0.0
Acta Agrestia Sinica,China Agricultural University,journal,AGRI;ENVI,Agricultural and Biological Sciences (miscellaneous);Ecology,0.245,0.161,1.1,0.7,467,607,204,1.71,391,1025,231,1.02,306,1033,281,0.0
Acta Agriculturae Scandinavica - Section A: Animal Science,Taylor and Francis A.S.,journal,VETE;AGRI,Animal Science and Zoology;Food Animals,0.484,0.305,1.9,2.3,11,777,3,9.09,21,714,12,4.76,24,582,21,0.0
Acta Agriculturae Scandinavica - Section B Soil and Plant Science,Taylor and Francis A.S.,journal,AGRI,Agronomy and Crop Science;Soil Science,0.65,0.403,5.0,4.4,86,2556,10,2.33,20,2718,8,0.0,19,2347,14,0.0
Acta Agriculturae Slovenica,University of Ljubljana,journal,AGRI;ENVI,Agricultural and Biological Sciences (all);Water Science and Technology,0.259,0.166,0.9,0.9,72,640,32,0.0,66,690,43,10.61,37,570,36,8.11
Acta Agrobotanica,Polish Botanical Society,journal,AGRI,"Ecology, Evolution, Behavior and Systematics;Agronomy and Crop Science;Plant Science",0.668,0.298,2.0,2.9,12,326,2,0.0,9,362,4,11.11,11,250,10,9.09
Acta Agronomica,Universidad Nacional de Colombia,journal,AGRI,Agronomy and Crop Science;Soil Science,0.184,0.143,0.3,0.7,53,383,48,0.0,36,348,35,0.0,0,315,0,0.0
Acta Agronomica Sinica (China),Institute of Crop Sciences,journal,AGRI;BIOC,Biotechnology;Agronomy and Crop Science;Plant Science,0.508,0.245,1.8,1.7,257,1660,82,4.28,281,1639,153,5.69,211,1280,178,2.37
Acta Alimentaria,Akademiai Kiado,journal,AGRI,Food Science,0.323,0.235,1.7,1.8,61,1041,27,4.92,50,1021,26,2.0,36,842,33,2.78
Acta Amazonica,Instituto Nacional de Pesquisas da Amazonia,journal,AGRI,Agricultural and Biological Sciences (all),0.496,0.302,1.7,1.7,48,1217,16,2.08,45,1169,25,0.0,29,1030,25,10.34
Acta Arachnologica,Arachnological Society of Japan,journal,AGRI,"Ecology, Evolution, Behavior and Systematics",0.456,0.530,0.9,0.8,23,185,9,0.0,19,181,16,0.0,9,150,9,0.0
Acta Biologica Colombiana,Universidad Nacional de Colombia,journal,AGRI,Agricultural and Biological Sciences (all),0.367,0.212,0.9,1.6,50,510,22,2.0,56,558,43,1.79,38,399,36,2.63
Acta Biologica Cracoviensia Series Botanica,"Polish Academy of Sciences, Biological Commission",journal,AGRI,Plant Science,0.277,0.280,0.8,3.0,9,582,3,0.0,5,620,4,0.0,0,411,0,0.0
Acta Biologica Sibirica,Altai State University,journal,AGRI;ENVI,"Nature and Landscape Conservation;Global and Planetary Change;Insect Science;Plant Science;Animal Science and Zoology;Ecology, Evolution, Behavior and Systematics;Ecology",0.871,0.433,1.0,1.2,59,53,31,0.0,75,104,57,1.33,65,100,62,0.0
Acta Biologica Szegediensis,University of Szeged,journal,AGRI;BIOC,"Agricultural and Biological Sciences (all);Biochemistry, Genetics and Molecular Biology (all)",0.132,0.140,1.1,1.0,26,498,21,0.0,19,505,16,5.26,0,349,0,0.0
Acta Biotheoretica,Springer Science and Business Media B.V.,journal,MATH;ENVI;BIOC;ARTS;AGRI,"Biochemistry, Genetics and Molecular Biology (all);Philosophy;Agricultural and Biological Sciences (all);Environmental Science (all);Applied Mathematics",0.767,0.321,3.8,2.7,27,776,3,0.0,23,906,10,0.0,11,745,8,0.0
Acta Botanica Brasilica,Sociedade Botanica do Brasil,journal,AGRI,Plant Science,0.622,0.361,1.7,2.3,98,2217,35,2.04,60,2091,30,8.33,32,1848,31,3.13
Acta Botanica Croatica,University of Zagreb,journal,AGRI,"Plant Science;Ecology, Evolution, Behavior and Systematics",0.627,0.318,2.0,2.5,26,616,5,0.0,19,581,11,0.0,18,483,13,0.0
