title,publisher,aggregationType,subject_area_abbrevs,subject_area_names,SNIP,SJR,publicationCount_2022,citeCountSCE_2022,zeroCitesSCE_2022,revPercent_2022,publicationCount_2023,citeCountSCE_2023,zeroCitesSCE_2023,revPercent_2023,publicationCount_2024,citeCountSCE_2024,zeroCitesSCE_2024,revPercent_2024,citeScoreTracker_2024,citeScoreCurrentMetric_2023
4OR,Springer,journal,BUSI;MATH;DECI;COMP,Theoretical Computer Science;Computational Theory and Mathematics;Management Science and Operations Research;Management Information Systems,1.484,0.661,28,882,4,0.0,36,783,16,0.0,36,732,24,0.0,3.6,3.8
"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali",Accademia Peloritana dei Pericolanti,journal,MATH;PHYS;ARTS;CHEM;AGRI;EART;COMP,Earth and Planetary Sciences (all);Physics and Astronomy (all);Mathematics (all);Agricultural and Biological Sciences (all);Computer Science (all);Chemistry (all);History and Philosophy of Science,0.281,0.216,13,150,8,0.0,27,161,6,0.0,7,134,6,0.0,4.6,3.8
ACM Communications in Computer Algebra,Association for Computing Machinery (ACM),journal,MATH;COMP,Computational Theory and Mathematics;Computational Mathematics,0.905,0.336,0,79,0,0.0,26,89,18,0.0,2,69,1,0.0,1.0,0.7
ACM Computing Surveys,Association for Computing Machinery (ACM),journal,MATH;COMP,Theoretical Computer Science;Computer Science (all),8.26,6.280,245,27553,0,66.53,333,37122,3,16.22,307,38659,47,1.63,46.6,33.2
ACM Inroads,Association for Computing Machinery (ACM),tradejournal,SOCI;COMP,Education;Computer Science (all),0.823,0.424,29,711,19,3.45,25,786,14,8.0,24,613,24,0.0,1.9,2.6
ACM International Conference Proceeding Series,Association for Computing Machinery (ACM),conferenceproceeding,COMP,Human-Computer Interaction;Software;Computer Networks and Communications;Computer Vision and Pattern Recognition,0.233,0.253,9173,61890,4800,0.0,814,73821,413,0.0,0,60705,0,0.0,1.7,1.5
ACM Journal on Emerging Technologies in Computing Systems,Association for Computing Machinery (ACM),journal,ENGI;COMP,Software;Hardware and Architecture;Electrical and Electronic Engineering,0.911,0.680,87,1194,18,1.15,31,1341,9,0.0,8,1015,7,0.0,6.1,4.8
ACM Transactions on Accessible Computing,Association for Computing Machinery (ACM),journal,COMP,Human-Computer Interaction;Computer Science Applications,0.937,0.598,38,780,2,2.63,23,859,7,0.0,10,827,5,0.0,6.7,6.2
ACM Transactions on Applied Perception,Association for Computing Machinery (ACM),journal,PSYC;MATH;COMP,Theoretical Computer Science;Experimental and Cognitive Psychology;Computer Science (all),0.989,0.429,19,921,2,0.0,20,968,6,0.0,8,848,5,0.0,3.9,3.7
ACM Transactions on Asian and Low-Resource Language Information Processing,Association for Computing Machinery (ACM),journal,COMP,Computer Science (all),1.103,0.535,135,910,16,2.22,216,1347,44,1.85,137,1554,98,0.0,4.5,3.6
ACM Transactions on Autonomous and Adaptive Systems,Association for Computing Machinery (ACM),journal,ENGI;COMP,Software;Control and Systems Engineering;Computer Science (miscellaneous),0.708,0.613,9,625,3,0.0,15,530,4,0.0,18,362,12,0.0,5.2,4.8
ACM Transactions on Computation Theory,Association for Computing Machinery (ACM),journal,MATH;COMP,Theoretical Computer Science;Computational Theory and Mathematics,0.853,0.997,8,427,1,0.0,12,487,7,0.0,19,441,14,0.0,1.9,2.3
ACM Transactions on Computational Logic,Association for Computing Machinery (ACM),journal,MATH;COMP,Theoretical Computer Science;Computational Mathematics;Computer Science (all);Logic,1.231,0.876,27,760,5,0.0,36,755,9,0.0,15,580,9,0.0,2.4,2.3
ACM Transactions on Computer Systems,Association for Computing Machinery (ACM),journal,COMP,Computer Science (all),0.869,0.537,2,1782,0,0.0,4,1783,2,0.0,5,1256,4,0.0,5.2,4.0
ACM Transactions on Computer-Human Interaction,Association for Computing Machinery (ACM),journal,COMP,Human-Computer Interaction,1.789,1.842,51,3683,0,1.96,114,4182,5,0.0,42,4470,28,0.0,10.7,8.5
ACM Transactions on Computing Education,Association for Computing Machinery (ACM),journal,SOCI;COMP,Education;Computer Science (all),1.91,1.083,55,1454,5,5.45,33,1846,11,3.03,42,1662,25,2.38,6.6,6.5
ACM Transactions on Computing for Healthcare,Association for Computing Machinery (ACM),journal,HEAL;ENGI;MEDI;COMP,Software;Health Informatics;Medicine (miscellaneous);Biomedical Engineering;Computer Science Applications;Information Systems;Health Information Management,1.805,1.490,48,419,5,2.08,24,791,6,8.33,18,874,11,0.0,14.2,10.3
ACM Transactions on Cyber-Physical Systems,Association for Computing Machinery (ACM),journal,MATH;COMP,Artificial Intelligence;Human-Computer Interaction;Computer Networks and Communications;Hardware and Architecture;Control and Optimization,0.947,0.806,34,669,4,0.0,31,783,7,3.23,37,711,20,0.0,5.2,5.7
ACM Transactions on Database Systems,Association for Computing Machinery (ACM),journal,COMP,Information Systems,1.711,1.730,15,2370,2,0.0,12,2381,4,0.0,12,1789,8,0.0,5.0,5.6
ACM Transactions on Design Automation of Electronic Systems,Association for Computing Machinery (ACM),journal,ENGI;COMP,Computer Science Applications;Computer Graphics and Computer-Aided Design;Electrical and Electronic Engineering,0.889,0.569,84,1169,17,0.0,94,1367,32,0.0,69,1120,44,0.0,3.6,3.2
ACM Transactions on Economics and Computation,Association for Computing Machinery (ACM),journal,ECON;BUSI;MATH;COMP,Computer Science (miscellaneous);Economics and Econometrics;Computational Mathematics;Statistics and Probability;Marketing,1.346,0.724,10,461,3,0.0,17,537,11,0.0,11,459,8,0.0,3.8,3.8
ACM Transactions on Graphics,Association for Computing Machinery (ACM),journal,COMP,Computer Graphics and Computer-Aided Design,2.431,7.766,295,31287,6,0.0,268,35339,52,0.0,152,30472,118,0.0,15.3,14.3
ACM Transactions on Human-Robot Interaction,Association for Computing Machinery (ACM),journal,COMP,Human-Computer Interaction;Artificial Intelligence,1.871,1.342,48,457,3,8.33,54,845,9,0.0,44,990,26,0.0,7.5,7.7
ACM Transactions on Information Systems,Association for Computing Machinery (ACM),journal,BUSI;COMP,"Business, Management and Accounting (all);Computer Science Applications;Information Systems",3.232,2.262,104,4052,5,2.88,177,4953,13,0.0,63,4679,25,0.0,11.1,9.4
ACM Transactions on Intelligent Systems and Technology,Association for Computing Machinery (ACM),journal,MATH;COMP,Theoretical Computer Science;Artificial Intelligence,1.992,1.882,120,6618,7,3.33,110,7238,23,0.0,76,6610,33,0.0,10.1,9.3
ACM Transactions on Interactive Intelligent Systems,Association for Computing Machinery (ACM),journal,COMP,Human-Computer Interaction;Artificial Intelligence,1.441,0.991,35,1766,3,0.0,31,2037,6,0.0,23,1914,13,0.0,8.8,7.8
ACM Transactions on Internet Technology,Association for Computing Machinery (ACM),journal,COMP,Computer Networks and Communications,1.412,1.449,92,2274,4,0.0,68,2557,15,0.0,14,2194,9,0.0,13.1,10.3
ACM Transactions on Internet of Things,Association for Computing Machinery (ACM),journal,COMP,Software;Computer Networks and Communications;Hardware and Architecture;Computer Science Applications;Information Systems,1.052,0.738,24,110,1,4.17,33,212,6,0.0,14,277,10,0.0,5.7,5.2
ACM Transactions on Knowledge Discovery from Data,Association for Computing Machinery (ACM),journal,COMP,Computer Science (all),1.733,1.303,69,3804,6,0.0,189,4287,27,0.53,152,4308,93,0.0,7.7,6.7
ACM Transactions on Management Information Systems,Association for Computing Machinery (ACM),journal,BUSI;COMP,Management Information Systems;Computer Science (all),1.06,0.815,32,1199,0,0.0,37,1379,7,0.0,14,1305,14,0.0,8.2,6.3
ACM Transactions on Mathematical Software,Association for Computing Machinery (ACM),journal,MATH;COMP,Software;Applied Mathematics,1.94,1.040,46,5925,10,0.0,42,5851,11,0.0,16,5099,13,0.0,6.1,5.0
ACM Transactions on Modeling and Computer Simulation,Association for Computing Machinery (ACM),journal,MATH;COMP,Modeling and Simulation;Computer Science Applications,0.674,0.338,18,1004,4,0.0,22,905,4,0.0,26,724,17,0.0,2.3,2.5
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,Association for Computing Machinery (ACM),journal,ENGI;COMP,"Media Technology;Computer Science (miscellaneous);Software;Computer Networks and Communications;Hardware and Architecture;Information Systems;Safety, Risk, Reliability and Quality",0.768,0.525,7,213,2,0.0,15,191,6,0.0,9,140,7,0.0,2.4,2.1
"ACM Transactions on Multimedia Computing, Communications and Applications",Association for Computing Machinery (ACM),journal,COMP,Computer Networks and Communications;Hardware and Architecture,1.708,1.399,146,3451,10,0.0,325,4411,62,0.0,194,4535,122,0.0,8.6,8.5
ACM Transactions on Parallel Computing,Association for Computing Machinery (ACM),journal,MATH;COMP,Modeling and Simulation;Software;Computational Theory and Mathematics;Hardware and Architecture;Computer Science Applications,1.056,0.446,16,354,2,0.0,22,411,11,0.0,14,299,13,0.0,2.7,4.1
ACM Transactions on Privacy and Security,Association for Computing Machinery (ACM),journal,ENGI;COMP,"Computer Science (all);Safety, Risk, Reliability and Quality",1.178,0.794,44,597,4,0.0,43,822,10,0.0,29,774,20,0.0,5.9,5.2
ACM Transactions on Programming Languages and Systems,Association for Computing Machinery (ACM),journal,COMP,Software,1.508,0.893,25,2007,2,0.0,23,2023,5,0.0,11,1618,6,0.0,3.8,3.1
ACM Transactions on Reconfigurable Technology and Systems,Association for Computing Machinery (ACM),journal,COMP,Computer Science (all),1.511,0.802,54,657,9,1.85,51,862,14,0.0,50,653,37,0.0,4.0,4.9
ACM Transactions on Sensor Networks,Association for Computing Machinery (ACM),journal,COMP,Computer Networks and Communications,1.051,1.130,80,1940,9,0.0,104,2114,24,0.96,89,1975,56,0.0,6.6,5.9
ACM Transactions on Software Engineering and Methodology,Association for Computing Machinery (ACM),journal,COMP,Software,2.564,1.853,70,2178,2,4.29,214,2824,27,0.47,136,3013,78,0.0,7.6,6.3
ACM Transactions on Spatial Algorithms and Systems,Association for Computing Machinery,journal,MATH;COMP,Modeling and Simulation;Signal Processing;Geometry and Topology;Discrete Mathematics and Combinatorics;Computer Science Applications;Information Systems,0.795,0.620,33,284,4,3.03,32,349,11,0.0,18,285,13,0.0,2.9,4.4
ACM Transactions on Storage,Association for Computing Machinery (ACM),journal,COMP,Hardware and Architecture,1.131,0.547,36,857,9,0.0,38,788,13,0.0,27,738,24,0.0,4.0,4.2
ACM Transactions on the Web,Association for Computing Machinery (ACM),journal,COMP,Computer Networks and Communications,1.433,0.787,24,950,1,4.17,45,943,10,2.22,25,910,11,0.0,5.3,4.9
ACS Physical Chemistry Au,American Chemical Society,journal,COMP;CHEM,Computer Science Applications;Chemistry (miscellaneous);Computational Theory and Mathematics;Physical and Theoretical Chemistry,0.948,0.951,56,99,4,5.36,48,290,5,31.25,71,431,45,25.35,5.0,3.7
AGIT- Journal fur Angewandte Geoinformatik,V D E Verlag GmbH,journal,ENVI;EART;COMP,"Management, Monitoring, Policy and Law;Computer Science Applications;Computers in Earth Sciences",0.195,0.174,15,32,13,0.0,16,24,14,0.0,0,19,0,0.0,0.5,0.6
AI (Switzerland),Multidisciplinary Digital Publishing Institute (MDPI),journal,COMP,Artificial Intelligence,1.307,0.759,59,435,7,8.47,54,834,5,18.52,84,1114,55,16.67,6.9,7.2
AI Communications,IOS Press BV,journal,COMP,Artificial Intelligence,0.589,0.573,33,751,11,3.03,18,878,12,0.0,25,664,21,0.0,2.7,2.3
AI Magazine,John Wiley and Sons Inc,journal,COMP,Artificial Intelligence,1.318,0.486,37,3893,4,0.0,51,4452,22,0.0,58,3656,44,0.0,4.7,3.9
AI Open,KeAi Communications Co.,journal,COMP,Artificial Intelligence;Software;Computer Vision and Pattern Recognition;Human-Computer Interaction;Computer Science Applications;Information Systems,12.137,8.119,20,912,1,15.0,21,1922,9,4.76,19,2221,14,5.26,27.7,45.0
AI and Society,Springer London,journal,ARTS;COMP,Human-Computer Interaction;Artificial Intelligence;Philosophy,1.939,0.976,131,2421,19,0.0,291,3708,69,0.0,513,4430,292,0.0,8.4,8.0
AIMS Electronics and Electrical Engineering,American Institute of Mathematical Sciences,journal,ENGI;COMP,Control and Systems Engineering;Computer Science Applications;Electrical and Electronic Engineering,0.557,0.272,29,134,5,6.9,16,190,9,6.25,21,179,18,4.76,2.9,2.4
AIS Transactions on Replication Research,Association for Information Systems,journal,BUSI;COMP,Information Systems;Management Information Systems,0.272,0.241,5,7,4,0.0,7,19,6,0.0,0,21,0,0.0,0.9,0.5
