title,publisher,aggregationType,subject_area_abbrevs,subject_area_names,SNIP,SJR,citeScoreTracker_2024,citeScoreCurrentMetric_2023,publicationCount_2022,citeCountSCE_2022,zeroCitesSCE_2022,revPercent_2022,publicationCount_2023,citeCountSCE_2023,zeroCitesSCE_2023,revPercent_2023,publicationCount_2024,citeCountSCE_2024,zeroCitesSCE_2024,revPercent_2024
ABAC Journal,Assumption University,journal,ECON;BUSI;SOCI;ARTS,"Education;Social Sciences (miscellaneous);Economics, Econometrics and Finance (all);Literature and Literary Theory;Business, Management and Accounting (all)",0.425,0.189,2.9,2.2,57,89,19,0.0,64,150,27,1.56,44,209,40,4.55
ACM Transactions on Economics and Computation,Association for Computing Machinery (ACM),journal,ECON;BUSI;MATH;COMP,Computer Science (miscellaneous);Economics and Econometrics;Computational Mathematics;Statistics and Probability;Marketing,1.346,0.724,3.8,3.8,10,461,3,0.0,17,537,11,0.0,11,459,8,0.0
ACRN Journal of Finance and Risk Perspectives,ACRN Oxford Ltd.,journal,ECON;BUSI;DECI,"Statistics, Probability and Uncertainty;Accounting;Business and International Management;Finance",0.813,0.376,1.0,3.3,6,74,4,0.0,4,104,3,0.0,0,103,0,0.0
ASTIN Bulletin,Cambridge University Press,journal,ECON;BUSI,Finance;Economics and Econometrics;Accounting,1.19,0.979,3.1,3.2,31,1327,5,0.0,31,1188,7,0.0,31,1156,26,0.0
AStA Advances in Statistical Analysis,Springer Verlag,journal,ECON;MATH;SOCI,Modeling and Simulation;Analysis;Economics and Econometrics;Social Sciences (miscellaneous);Statistics and Probability;Applied Mathematics,1.103,0.480,2.7,2.2,32,553,12,9.38,38,650,8,2.63,43,645,36,0.0
ATA Journal of Legal Tax Research,American Accounting Association,journal,ECON;BUSI;SOCI,Law;Finance;Accounting,0,0.114,0.9,0.5,3,2,2,0.0,3,6,2,0.0,4,11,4,0.0
Academia Economic Papers,Institute of Economics Academia Sinica,journal,ECON,"Economics, Econometrics and Finance (all)",0.308,0.135,0.2,0.3,13,9,10,0.0,12,9,12,0.0,3,7,3,0.0
Academia Revista Latinoamericana de Administracion,Emerald Group Publishing Ltd.,journal,ECON;BUSI;DECI,"Economics, Econometrics and Finance (all);Strategy and Management;Organizational Behavior and Human Resource Management;Management Science and Operations Research;Business and International Management",0.567,0.356,3.3,2.6,29,475,3,0.0,30,509,12,0.0,32,475,27,0.0
Academic Journal of Interdisciplinary Studies,Richtmann Publishing Ltd,journal,ECON;ENVI;BUSI;SOCI;ARTS,"Arts and Humanities (miscellaneous);Social Sciences (all);Environmental Science (miscellaneous);Business, Management and Accounting (miscellaneous);Economics, Econometrics and Finance (miscellaneous)",0.462,0.212,1.9,1.5,172,340,74,1.74,178,597,112,0.0,30,644,26,0.0
Accounting Forum,Taylor and Francis Ltd.,journal,ECON;BUSI,Finance;Accounting,1.196,0.664,5.3,5.2,18,1495,1,0.0,43,1966,10,2.33,44,1907,17,4.55
