title,aggregationType,subject_area_abbrevs,subject_area_names,SNIP,SJR,publicationCount_2022,citeCountSCE_2022,zeroCitesSCE_2022,revPercent_2022,publicationCount_2023,citeCountSCE_2023,zeroCitesSCE_2023,revPercent_2023,publicationCount_2024,citeCountSCE_2024,zeroCitesSCE_2024,revPercent_2024,publisher,citeScoreTracker_2024,citeScoreCurrentMetric_2023
2D Materials,journal,PHYS;ENGI;MATE;CHEM,Mechanical Engineering;Condensed Matter Physics;Materials Science (all);Chemistry (all);Mechanics of Materials,1.037,1.483,162,9669,2,4.32,159,9449,12,3.14,145,8743,81,11.03,IOP Publishing Ltd.,8.6,10.7
3D Printing and Additive Manufacturing,journal,ENGI;MATE,Materials Science (miscellaneous);Industrial and Manufacturing Engineering,0.982,0.646,49,1642,8,10.2,134,1885,20,5.22,195,1842,78,9.74,Mary Ann Liebert Inc.,4.7,6.0
A + U-Architecture and Urbanism,journal,ARTS;ENGI;SOCI,Architecture;Visual Arts and Performing Arts;Urban Studies,0,0.100,277,9,276,0.0,188,6,188,0.0,161,2,161,0.0,"Japan Architects Co., Ltd.",0.0,0.0
A+BE Architecture and the Built Environment,bookseries,ARTS;ENGI;SOCI,Architecture;Urban Studies;Building and Construction;History,0.003,0.105,102,17,96,13.73,163,17,157,4.91,41,28,41,0.0,TU Delft Open,0.1,0.0
ACI Materials Journal,journal,ENGI;MATE,Materials Science (all);Building and Construction;Civil and Structural Engineering,0.689,0.753,120,8204,30,0.83,41,8173,16,0.0,52,6805,43,0.0,American Concrete Institute,3.8,3.6
ACI Structural Journal,journal,ENGI,Building and Construction;Civil and Structural Engineering,1.22,0.650,143,10254,33,0.7,124,10057,53,0.0,77,8234,60,0.0,American Concrete Institute,3.0,3.2
ACM Journal on Emerging Technologies in Computing Systems,journal,ENGI;COMP,Software;Hardware and Architecture;Electrical and Electronic Engineering,0.911,0.680,87,1194,18,1.15,31,1341,9,0.0,8,1015,7,0.0,Association for Computing Machinery (ACM),6.1,4.8
ACM Transactions on Autonomous and Adaptive Systems,journal,ENGI;COMP,Software;Control and Systems Engineering;Computer Science (miscellaneous),0.708,0.613,9,625,3,0.0,15,530,4,0.0,18,362,12,0.0,Association for Computing Machinery (ACM),5.2,4.8
ACM Transactions on Computing for Healthcare,journal,HEAL;ENGI;MEDI;COMP,Software;Health Informatics;Medicine (miscellaneous);Biomedical Engineering;Computer Science Applications;Information Systems;Health Information Management,1.805,1.490,48,419,5,2.08,24,791,6,8.33,18,874,11,0.0,Association for Computing Machinery (ACM),14.2,10.3
ACM Transactions on Design Automation of Electronic Systems,journal,ENGI;COMP,Computer Science Applications;Computer Graphics and Computer-Aided Design;Electrical and Electronic Engineering,0.889,0.569,84,1169,17,0.0,94,1367,32,0.0,69,1120,44,0.0,Association for Computing Machinery (ACM),3.6,3.2
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,journal,ENGI;COMP,"Media Technology;Computer Science (miscellaneous);Software;Computer Networks and Communications;Hardware and Architecture;Information Systems;Safety, Risk, Reliability and Quality",0.768,0.525,7,213,2,0.0,15,191,6,0.0,9,140,7,0.0,Association for Computing Machinery (ACM),2.4,2.1
ACM Transactions on Privacy and Security,journal,ENGI;COMP,"Computer Science (all);Safety, Risk, Reliability and Quality",1.178,0.794,44,597,4,0.0,43,822,10,0.0,29,774,20,0.0,Association for Computing Machinery (ACM),5.9,5.2
ACS Applied Bio Materials,journal,ENGI;MEDI;MATE;CHEM,Chemistry (all);Biomaterials;Biochemistry (medical);Biomedical Engineering,0.736,0.900,513,12432,23,9.94,502,14814,60,16.53,594,15225,327,14.65,American Chemical Society,8.6,9.4
ACS Applied Energy Materials,journal,CENG;ENER;MATE;CHEM;ENGI,Materials Chemistry;Energy Engineering and Power Technology;Electrochemistry;Chemical Engineering (miscellaneous);Electrical and Electronic Engineering,0.888,1.467,1592,31993,39,2.32,1237,38864,92,5.58,968,42261,574,4.34,American Chemical Society,9.9,10.3
ACS Biomaterials Science and Engineering,journal,ENGI;MATE,Biomaterials;Biomedical Engineering,0.92,1.086,428,17590,12,16.36,538,19618,45,15.61,522,19571,319,17.82,American Chemical Society,9.1,10.3
ACS Materials Letters,journal,CENG;ENGI;MATE,Biomedical Engineering;Materials Science (all);Chemical Engineering (all),1.429,3.003,280,5636,3,12.5,347,8191,17,9.51,525,10970,251,10.48,American Chemical Society,11.7,14.6
ACS Nano,journal,PHYS;ENGI;MATE,Engineering (all);Materials Science (all);Physics and Astronomy (all),2.267,4.593,1819,233812,25,5.39,2113,236581,90,5.58,2285,239460,1080,8.1,American Chemical Society,23.4,26.0
ACS Photonics,journal,PHYS;ENGI;BIOC;MATE,"Electronic, Optical and Magnetic Materials;Biotechnology;Atomic and Molecular Physics, and Optics;Electrical and Electronic Engineering",1.499,2.089,483,22712,16,7.25,462,23644,42,5.84,526,22752,319,3.23,American Chemical Society,11.1,11.9
ACS Synthetic Biology,journal,ENGI;BIOC,"Biomedical Engineering;Biochemistry, Genetics and Molecular Biology (miscellaneous)",0.921,1.289,404,10493,25,4.21,351,11169,55,5.7,330,10604,207,11.82,American Chemical Society,7.1,8.0
AES: Journal of the Audio Engineering Society,journal,ARTS;ENGI,Engineering (all);Music,0.901,0.434,72,2218,16,9.72,63,2145,31,3.17,47,1187,36,0.0,Audio Engineering Society,3.0,3.5
