,precision,recall,f1-score,support
0.0,0.7497893850042123,0.9958970533383066,0.8554950336430631,2681.0
1.0,0.25,0.012072434607645875,0.023032629558541268,497.0
2.0,0.21052631578947367,0.02127659574468085,0.03864734299516908,188.0
3.0,0.23809523809523808,0.04424778761061947,0.07462686567164178,113.0
4.0,0.0,0.0,0.0,47.0
5.0,0.0,0.0,0.0,32.0
6.0,0.0,0.0,0.0,17.0
7.0,0.0,0.0,0.0,8.0
8.0,0.0,0.0,0.0,10.0
9.0,0.0,0.0,0.0,7.0
10.0,0.1111111111111111,0.02702702702702703,0.043478260869565216,37.0
accuracy,0.7385207588671983,0.7385207588671983,0.7385207588671983,0.7385207588671983
macro avg,0.14177473181818503,0.10004735439347998,0.09411637570345276,3637.0
weighted avg,0.6062771959253744,0.7385207588671983,0.6385308314665407,3637.0
