Keyword,Year,Count
Machine Learning,2018,25
Machine Learning,2019,60
Machine Learning,2020,90
Machine Learning,2021,185
Machine Learning,2022,197
Machine Learning,2023,286
Climate Change,2018,5
Climate Change,2019,20
Climate Change,2020,28
Climate Change,2021,69
Climate Change,2022,72
Climate Change,2023,100
COVID-19,2018,0
COVID-19,2019,0
COVID-19,2020,29
COVID-19,2021,80
COVID-19,2022,108
COVID-19,2023,70
Hadron-Hadron scattering (experiments),2018,58
Hadron-Hadron scattering (experiments),2019,35
Hadron-Hadron scattering (experiments),2020,31
Hadron-Hadron scattering (experiments),2021,28
Hadron-Hadron scattering (experiments),2022,0
Hadron-Hadron scattering (experiments),2023,0
Inflammation,2018,21
Inflammation,2019,26
Inflammation,2020,24
Inflammation,2021,32
Inflammation,2022,15
Inflammation,2023,12
HIV,2018,20
HIV,2019,21
HIV,2020,20
HIV,2021,17
HIV,2022,19
HIV,2023,17
