title,Author_count,Open_access,Unique_affiliations_count,citedby_count
Removing atmospheric noise from InSAR interferograms in mountainous regions with a convolutional neural network,3,1,2,0
Bornean Orangutan Nest Classification using Image Enhancement with Convolutional Neural Network and Kernel Multi Support Vector Machine Classifier,8,1,5,0
Interpreting hourly mass concentrations of PM<inf>2.5</inf> chemical components with an optimal deep-learning model,5,0,4,3
Enhanced mathematical modeling for optimizing solar stills with AI exploitation,3,0,3,0
Spatiotemporal variation in carbon use efficiency derived from eddy-covariance measurement of global terrestrial biomes,13,0,4,0
Advancing sea level anomaly modeling in the black sea with LSTM Auto-Encoders: A novel approach,2,0,2,0
Harnessing the power of machine learning for the optimization of CO<inf>2</inf> sequestration in saline aquifers: Applied on the tensleep formation at teapot dome in Wyoming,5,0,2,0
Investigating the impact of climate variables on the organic honey yield in Turkey using XGBoost machine learning,1,1,1,0
"1st International Conference of Urban Climate, Sustainability, and Urban Design, UCSUD 2023",,0,0,0
Active learning on stacked machine learning techniques for predicting compressive strength of alkali-activated ultra-high-performance concrete,4,1,4,0
Space-time prediction of rainfall-induced shallow landslides through Artificial Neural Networks in comparison with the SLIP model,3,0,2,0
Spatiotemporal analysis of atmospheric methane concentrations and key influencing factors using machine learning in the Middle East (2010–2021),1,0,1,0
Challenges and opportunities in Machine learning for bioenergy crop yield Prediction: A review,5,0,2,0
"Understanding the roles of climate change, land use and land cover change and water diversion project in modulating water- and carbon-use efficiency in Han River Basin",6,0,2,0
A spatial machine learning approach to exploring the impacts of coal mining and ecological restoration on regional ecosystem health,4,0,1,0
"22nd Annual Workshop on e-Business, WeB 2023",,0,0,0
Adaptation Dynamics of Galápagos Finches: Evolutionary Responses to Climate Variation Explored through Machine Learning,5,0,2,0
Understanding and predicting infection dynamics for an endangered amphibian using long-term surveys of wild and translocated frogs,6,0,4,0
An unsupervised adaptive fusion framework for satellite-based precipitation estimation without gauge observations,4,0,3,0
Physics-informed neural networks for modeling atmospheric radiative transfer,3,0,3,0
Assessing the Impact of Climate Change on Long Term Load Forecasting for Electric Utilities,3,0,1,0
Estimation of urban land use implication on energy-related carbon emissions based on machine learning methods,3,0,2,0
Mitigating Blast-Induced Slope Failure in Railway Infrastructure: A Machine Learning Approach for Risk Assessment and Rapid Decision-Making,3,0,2,0
Integrating machine learning and zoning-based techniques for bias correction in gridded precipitation data to improve hydrological estimation in the data-scarce region,3,0,1,0
Regression-based machine learning approaches for estimating discharge from water levels in microtidal rivers,3,0,3,0
Variable sensitivity analysis in groundwater level projections under climate change adopting a hybrid machine learning algorithm,3,0,1,0
"Aerosol spatiotemporal dynamics, source analysis and influence mechanisms over typical drylands",6,1,6,0
From theory to hydrological practice: Leveraging CYGNSS data over seven years for advanced soil moisture monitoring,9,0,6,0
A Machine Learning Approach to Adapt Local Land Use Planning to Climate Change,5,1,2,0
Demonstrating almost half of cotton fiber quality variation is attributed to climate change using a hybrid machine learning-enabled approach,15,0,2,0
Comparative study of thaw settlement susceptibility mapping for the Qinghai-Tibet Plateau based on index and machine learning models,6,0,4,0
"23rd Mexican International Conference on Artificial Intelligence, MICAI 2024",,0,0,0
Building Resilience Against Climate Change. Focusing on Predicting Precipitation with Machine Learning Models on Mexico’s Metropolitan Area,4,0,1,0
"23rd Mexican International Conference on Artificial Intelligence, MICAI 2024",,0,0,0
Integration of investor behavioral perspective and climate change in reinforcement learning for portfolio optimization,2,0,1,0
Characterization of Water Consumers in Urban Areas Based on Data Visualization Techniques,6,0,2,0
A Survey on Predictive Modelling for Diverse Climate Condition and Heavy Rainfall,3,0,1,0
Advancing Precision Agriculture: Machine Learning-Based Crop Recommendation for Optimal Yield,4,0,2,0
