Title,cover_date,authkey_word,Year
Internal Variability Increased Arctic Amplification During 1980–2022,2023-12-28,Arctic amplification | internal variability | machine learning,2023
Natural Products Derived Porous Carbons for CO<inf>2</inf> Capture,2023-12-27,adsorption | biomass | CO  capture 2 | machine learning | porous carbon | simulation | synthesis,2023
"Impact of automation, artificial intelligence and deep learning on agriculture crop yield",2023-12-22,Agriculture crop yield | Artificial intelligence | Artificial neural networks | Automation | Deep learning | Drone | Fuzzy logic | Internet of things,2023
Remotely sensed evidence of the divergent climate impacts of wind farms on croplands and grasslands,2023-12-20,Cropland | Grassland | Heterogeneity | Land surface temperature | Remote sensing | Wind farm,2023
Identifying changes in flood characteristics and their causes from an event-based perspective in the Central Taihu Basin,2023-12-20,Event-based perspective | Flood change | Flood characteristics | Rainfall | Urbanization,2023
Soil carbon sequestration potential of cultivated lands and its controlling factors in China,2023-12-20,Anthropogenic factors | Carbon sequestration | Cultivated lands | Environmental variable | Machine learning | Spatial variation,2023
A deep learning model for reconstructing centenary water storage changes in the Yangtze River Basin,2023-12-20,Climate indices | Convolutional neural network | Extreme hydrological events | GRACE | Total water storage anomalies,2023
Crop improvement strategies and principles of selective breeding,2023-12-18,,2023
Investigating the Performance of CMIP6 Seasonal Precipitation Predictions and a Grid Based Model Heterogeneity Oriented Deep Learning Bias Correction Framework,2023-12-16,bias correction | CMIP6 | Convolutional Neural Network | precipitation bias ratio | seasonal prediction,2023
Committed Ice Loss in the European Alps Until 2050 Using a Deep-Learning-Aided 3D Ice-Flow Model With Data Assimilation,2023-12-16,,2023
Lagrangian Analysis of Tropical Cyclone Intensification Simulated by General Circulation Models Compared with Observations,2023-12-15,Climate models | Deep learning | Tropical cyclones,2023
Venice lagoon chlorophyll-a evaluation under climate change conditions: A hybrid water quality machine learning and biogeochemical-based framework,2023-12-15,Chlorophyll-a | Climate change scenarios | Coupled hydrodynamic-biogeochemical model | Machine learning | Water quality,2023
Investigating Atmospheric Responses to and Mechanisms Governing North Atlantic Sea Surface Temperatures over 10-Year Periods,2023-12-15,Atmosphere-ocean interaction | Climate variability | Decadal variability | Machine learning | North Atlantic Ocean | North Atlantic Oscillation,2023
Flood susceptibility mapping to improve models of species distributions,2023-12-15,Biodiversity Conservation | Flood Susceptibility Indicator | Machine learning | Remote Sensing | Species Distribution Models,2023
"Advancing COP26 climate goals: Leveraging energy innovation, governance readiness, and socio-economic factors for enhanced climate resilience and sustainability",2023-12-15,Alternative energy | Climate change vulnerability | Climate-resilience pathways | Convergent cross-mapping causality | Energy innovation | Sustainable development,2023
Wireless water consumption sensing system for building energy efficiency: A visual-based approach with self-powered operation,2023-12-15,Advanced visual sensing model (AVSM) | Carbon emissions reduction | Energy Efficiency | Lightweight AVSM model | Machine Learning | Water energy collection | Wireless water consumption sensing system,2023
Protocol for the design and accelerated optimization of a waste-to-energy system using AI tools,2023-12-15,Computer sciences | Energy | Environmental sciences,2023
A segmented evaluation model for building energy performance considering seasonal dynamic fluctuations,2023-12-15,Building energy performance | Energy consumption | Machine learning | Segmented model,2023
Impact of air pollutants on climate change and prediction of air quality index using machine learning models,2023-12-15,Air pollution | Air quality index | Climate action | Machine learning,2023
High-resolution maps of vegetation nitrogen density on the Tibetan Plateau: An intensive field-investigation,2023-12-15,Density | Machine learning | Nitrogen | Storage | Tibetan Plateau,2023
Application of high-dimensional uniform manifold approximation and projection (UMAP) to cluster existing landfills on the basis of geographical and environmental features,2023-12-15,Landfill | Landfill Suitability Index (LSI) | Louvain algorithm | Machine learning | Platalea minor | Uniform Manifold Approximation and Projection (UMAP),2023
Multi-model chain for climate change scenario analysis to support coastal erosion and water quality risk management for the Metropolitan city of Venice,2023-12-15,Climate change adaptation | Multi-risk assessment | Sea level rise | Shoreline change | Water quality,2023
UNSUPERVISED WINTER WHEAT MAPPING BASED ON MULTI-SPECTRAL AND SYNTHETIC APERTURE RADAR OBSERVATIONS,2023-12-14,agronomy | Dynamic Time Warping | hierarchical clustering | Sentinel-1 | Sentinel-2 | Unsupervised machine learning | wheat,2023
TOWARDS WHEAT YIELD ESTIMATION IN PLANT BREEDING FROM INHOMOGENEOUS LIDAR POINT CLOUDS USING STOCHASTIC FEATURES,2023-12-14,agriculture | geometry | grain yield | phenotyping | point cloud processing | structural | terrestrial laser scanner | TLS,2023
CLASSIFICATION OF TREES IN HYPERSPECTRAL CANOPY DATA USING MACHINE LEARNING: COMPARATIVE ANALYSIS OF FOREST STRUCTURE COMPLEXITY,2023-12-14,Forest Structure | Hyperspectral | Machine Learning | Species Classification,2023
UNDERSTANDING THE IMPACTS OF CROP DIVERSIFICATION IN THE CONTEXT OF CLIMATE CHANGE: A MACHINE LEARNING APPROACH,2023-12-14,Agriculture | Artificial Intelligence | Causality | Climate Change | Earth Observation | Machine Learning,2023
WOOD-LEAF UNSUPERVISED CLASSIFICATION OF SILVER BIRCH TREES FOR BIOMASS ASSESSMENT USING OBLIQUE POINT CLOUDS,2023-12-14,Biomass Assessment | LiDAR Point Clouds | Machine Learning | Remote Sensing | Wood-Leaf Classification,2023
HYPERSPECTRAL UAS IMAGERY FOR GRASS SWARDS BIOMASS AND NITROGEN ESTIMATION,2023-12-14,Grass Biomass | Hyperspectral | Machine Learning | Nitrogen Concentration | Unmanned Aerial System (UAS),2023
Fault MLReal: a fault delineation study for the Decatur CO<inf>2</inf> field data using neural network predicted passive seismic locations,2023-12-14,,2023
The Role of Artificial Intelligence and Machine Learning in preserving Cultural Heritage and Art Works via Virtual Restoration,2023-12-13,Artificial Intelligence | Artworks | Heritage | Inpainting | Virtual Restoration,2023
MACHINE LEARNING APPLICATION FOR CARBON ESTIMATION - A CASE STUDY,2023-12-13,Air Quality Index | Carbon dioxide | Carbon monoxide | Climate Change | Regression models,2023
GROUNDWATER LEVEL PREDICTION USING DEEP RECURRENT NEURAL NETWORKS AND UNCERTAINTY ASSESSMENT,2023-12-13,Climate Change | Deep Learning | GIS | Groundwater Level | LSTM | Uncertainty,2023
"The statistical emulators of GGCMI phase 2: Responses of year-To-year variation of crop yield to CO2, temperature, water, and nitrogen perturbations",2023-12-12,,2023
GTWS-MLrec: global terrestrial water storage reconstruction by machine learning from 1940 to present,2023-12-08,,2023
Application of data models in power grids for loss reduction and disaster anticipation,2023-12-07,data analysis | disaster anticipation | neural networks | power distortion | power grids | reactive power,2023
Viticulture under climate change: A case study on a water scarcity model,2023-12-06,,2023
Exploring Global Land Coarse-Mode Aerosol Changes from 2001-2021 Using a New Spatiotemporal Coaction Deep-Learning Model,2023-12-05,cAOD | deep learning | global land | MODIS,2023
"Machine Learning to classify the indiscriminate use of land for agricultural purposes and its relationship with climate change, Atacama Desert headwaters",2023-12-01,coastal aquifer | groundwater irrigation | soil cover,2023
Adaptive Pathways Using Emerging Technologies: Applications for Critical Transportation Infrastructure,2023-12-01,adaptive pathways | artificial intelligence | critical transportation infrastructure | resilience | structural health monitoring | sustainability,2023
The Climate of Innovation: AI’s Growing Influence in Weather Prediction Patents and Its Future Prospects,2023-12-01,artificial intelligence | data-driven approaches | patent analysis | text mining | weather prediction,2023
A Review on the Advances in Socially Oriented Education,2023-12-01,educational innovation | experiential learning | higher education | social development | sustainability,2023
Identifying Key Issues in Climate Change Litigation: A Machine Learning Text Analytic Approach,2023-12-01,climate change | legal case | litigation | machine learning | text analytics,2023
Estimation of Daily Actual Evapotranspiration of Tea Plantations Using Ensemble Machine Learning Algorithms and Six Available Scenarios of Meteorological Data,2023-12-01,evapotranspiration | machine learning | prediction models | tea plantations,2023
Advanced Digital Tools for Data-Informed and Performance-Driven Design: A Review of Building Energy Consumption Forecasting Models Based on Machine Learning,2023-12-01,building energy forecasting | data-informed design | machine learning-based tools | operational carbon reduction | performance-driven design,2023
A pragmatic ensemble learning approach for rainfall prediction,2023-12-01,Bagging | Bias-variance | Boosting | Ensemble learning | Rainfall prediction,2023
Bibliometric Analysis of Trends in Smart Irrigation for Smart Agriculture,2023-12-01,cluster analysis | high-frequency phrase | Internet of Things | irrigation system | Scopus,2023
Dynamics of Palsa Mires of the Kola Peninsula as a Marker of Climate Change in the Arctic,2023-12-01,aerial photography | ground penetrating radar | land cover classes | machine learning | permafrost | plant succession,2023
Environmental drivers of the current and future distribution of high-yielding lacquer trees (Toxicodendron vernicifluum (stokes) F. A. Barkley),2023-12-01,,2023
"APAAACI 2023 International Conference: The innovation revolution in allergy, asthma, and immunology",2023-12-01,,2023
Exploring the optimal climate conditions for a maximum maize production in Ghana: Implications for food security,2023-12-01,Artificial neural network | Cereal production | Climate change | Machine learning techniques | Sustainable development goals,2023
Significant Applications of Artificial Intelligence Towards Attaining Sustainability,2023-12-01,AI applications | Artificial intelligence (AI) | environment | machine learning (ML) | sustainability,2023
Assessing the Potential of AI–ML in Urban Climate Change Adaptation and Sustainable Development,2023-12-01,AI–ML technology transfer | climate change consequences | climate resilience | collaborative climate adaptation efforts | policy frameworks | sustainable urban development,2023
A Deep Learning Method for Statistical Downscaling of CLDAS Relative Humidity with Different Sources of Data: Sensitivity Analysis,2023-12-01,generative adversarial network (GAN) | relative humidity | statistical downscaling | temperature,2023
"Machine learning based UHI data assessment to model the relationship between LULC and LST: case study of Srinagar City, Jammu & Kashmir, India",2023-12-01,Land surface temperature | Land use land cover | Machine learning | Urban heat islands,2023
"Global Review of Modification, Optimization, and Improvement Models for Aquifer Vulnerability Assessment in the Era of Climate Change",2023-12-01,Aquifer vulnerability assessment | Climate change | Deep learning | Index-overlay methods | Machine learning | Optimization,2023
Transfer-Ensemble Learning: A Novel Approach for Mapping Urban Land Use/Cover of the Indian Metropolitans,2023-12-01,ensemble learning | land use/land cover | machine learning | remote sensing | transferability,2023
Development of a robust daily soil temperature estimation in semi-arid continental climate using meteorological predictors based on computational intelligent paradigms,2023-12-01,,2023
Short- and Mid-Term Forecasting of Pan-Arctic Sea Ice Volume Using Variational Mode Decomposition and Bidirectional Long Short-Term Memory,2023-12-01,deep learning | mid-term forecasting | multi-horizon forecasting | pan-Arctic sea ice volume forecasting | short-term forecasting | time-series forecasting,2023
Suicide Risk Assessment and Prevention Tools in the UK: Current Landscape and Future Directions,2023-12-01,COVID-19 | mental health | public health | suicidal ideation | suicide | suicide prevention | UK,2023
Projected Climate Change Effects on Global Vegetation Growth: A Machine Learning Approach,2023-12-01,climate change | Global NDVI | machine learning | random forest | shared socioeconomic pathways,2023
Analysis of Accelerometer Data Using Random Forest Models to Classify the Behavior of a Wild Nocturnal Primate: Javan Slow Loris (Nycticebus javanicus),2023-12-01,animal behavior | random forest model | supervised machine learning,2023
Forest Functioning under Climate Warming and Future Perspectives on Forest Disturbances,2023-12-01,climate change | drought | forest fires | forest management | forest resilience | old-growth forests,2023
Can Grapevine Leaf Water Potential Be Modelled from Physiological and Meteorological Variables? A Machine Learning Approach,2023-12-01,modelling | precision irrigation | predawn leaf water potential | Vitis vinifera | water status indicators,2023
"A Green Fingerprint of Antarctica: Drones, Hyperspectral Imaging, and Machine Learning for Moss and Lichen Classification",2023-12-01,Antarctic Specially Protected Area (ASPA) | data fusion | environmental monitoring | hyperspectral imaging (HSI) | unmanned aerial system (UAS) | unmanned aerial vehicle (UAV),2023
Satellite Estimation of pCO<inf>2</inf> and Quantification of CO<inf>2</inf> Fluxes in China’s Chagan Lake in the Context of Climate Change,2023-12-01,carbon cycle | Chagan Lake | CO  budget 2 | CO  flux 2 | remote sensing,2023
A Data Driven Approach for Analyzing the Effect of Climate Change on Mosquito Abundance in Europe,2023-12-01,climate change | earth-observation data | entomological data | machine learning | mosquito abundance | RCPs,2023
Nature's 10: ten people (and one non-human) who helped shape science in 2023,2023-12-01,Cancer | Climate change | Energy | Machine learning | Vaccines,2023
Assessing the Risk of Extreme Storm Surges from Tropical Cyclones under Climate Change Using Bidirectional Attention-Based LSTM for Improved Prediction,2023-12-01,artificial intelligence | climate change | coastal hazards | coastal vulnerability | early warning | machine learning | natural disaster | natural hazard | storm surge | tropical cyclone,2023
